foot,track_modulus,rail_section,elasticity,tie_spacing,tie_width,tie_thickness,tie_length,tie_plate_width,tie_plate_length,allowable_bending_stress,allowable_rail/tie_bearing_stress,allowable_tie/basslat_bearing_stress,actual_ballast_thickness,allowable_ballast/subgrade_stress,longitude,latitude
0.1,530,115,30000000,19.5,9,7,102,8,14,20596.40194,200,75,22,25,1233,30
0.2,530,115,30000000,19.5,24,7,102,8,14,20596.40194,200,75,22,25,1234,50
0.3,530,115,30000000,19.5,39,7,102,8,14,20596.40194,200,75,22,25,1233,42
0.4,530,115,30000000,19.5,48,7,102,8,14,20596.40194,200,75,22,25,1234,47
0.5,530,115,30000000,19.5,58.5,7,102,8,14,20596.40194,200,75,22,25,1234,48
0.6,530,115,30000000,19.5,72,7,102,8,14,20596.40194,200,75,22,25,1234.2,33.5
0.7,530,115,30000000,19.5,78,7,102,8,14,20596.40194,200,75,22,25,1234.4,43.4
0.8,530,115,30000000,19.5,96,7,102,8,14,20596.40194,200,75,22,25,1234.6,43.87142857
0.9,530,115,30000000,19.5,19.5,7,102,8,14,24715.68233,200,75,22,25,1234.8,44.34285714
1,530,115,30000000,19.5,24,7,102,8,14,24715.68233,200,75,22,25,1235,44.81428571
1.1,530,115,30000000,19.5,39,7,102,8,14,24715.68233,200,75,22,25,1235.2,45.28571429
1.2,530,115,30000000,19.5,48,7,102,8,14,24715.68233,200,75,22,25,1235.4,45.75714286
1.3,530,115,30000000,19.5,58.5,7,102,8,14,24715.68233,200,75,22,25,1235.6,46.22857143
1.4,530,115,30000000,19.5,72,7,102,8,14,24715.68233,200,75,22,25,1235.8,46.7
1.5,530,115,30000000,19.5,78,7,102,8,14,24715.68233,200,75,22,25,1236,47.17142857
1.6,530,115,30000000,19.5,96,7,102,8,14,24715.68233,200,75,22,25,1236.2,47.64285714
1.7,530,115,30000000,19.5,19.5,7,102,8,14,28834.96272,200,75,22,25,1236.4,48.11428571
1.8,530,115,30000000,19.5,24,7,102,8,14,28834.96272,200,75,22,25,1236.6,48.58571429
1.9,530,115,30000000,19.5,39,7,102,8,14,28834.96272,200,75,22,25,1236.8,49.05714286
2,530,115,30000000,19.5,48,7,102,8,14,28834.96272,200,75,22,25,1237,49.52857143
2.1,530,115,30000000,19.5,58.5,7,102,8,14,28834.96272,200,75,22,25,1237.2,50
2.2,530,115,30000000,19.5,72,7,102,8,14,28834.96272,200,75,22,25,1237.4,50.47142857
2.3,530,115,30000000,19.5,78,7,102,8,14,28834.96272,200,75,22,25,1237.6,50.94285714
2.4,530,115,30000000,19.5,96,7,102,8,14,28834.96272,200,75,22,25,1237.8,51.41428571
2.5,530,115,30000000,19.5,19.5,7,102,8,14,32954.24311,200,75,22,25,1238,51.88571429
2.6,530,115,30000000,19.5,24,7,102,8,14,32954.24311,200,75,22,25,1238.2,52.35714286
2.7,530,115,30000000,19.5,39,7,102,8,14,32954.24311,200,75,22,25,1238.4,52.82857143
2.8,530,115,30000000,19.5,48,7,102,8,14,32954.24311,200,75,22,25,1238.6,53.3
2.9,530,115,30000000,19.5,58.5,7,102,8,14,32954.24311,200,75,22,25,1238.8,53.77142857
3,530,115,30000000,19.5,72,7,102,8,14,32954.24311,200,75,22,25,1239,54.24285714
3.1,530,115,30000000,19.5,78,7,102,8,14,32954.24311,200,75,22,25,1239.2,54.71428571
3.2,530,115,30000000,19.5,96,7,102,8,14,32954.24311,200,75,22,25,1239.4,55.18571429
3.3,530,115,30000000,19.5,19.5,7,102,8,14,37073.52349,200,75,22,25,1239.6,55.65714286
3.4,530,115,30000000,19.5,24,7,102,8,14,37073.52349,200,75,22,25,1239.8,56.12857143
3.5,530,115,30000000,19.5,39,7,102,8,14,37073.52349,200,75,22,25,1240,56.6
3.6,530,115,30000000,19.5,48,7,102,8,14,37073.52349,200,75,22,25,1240.2,57.07142857
3.7,530,115,30000000,19.5,58.5,7,102,8,14,37073.52349,200,75,22,25,1240.4,57.54285714
3.8,530,115,30000000,19.5,72,7,102,8,14,37073.52349,200,75,22,25,1240.6,58.01428571
3.9,530,115,30000000,19.5,78,7,102,8,14,37073.52349,200,75,22,25,1240.8,58.48571429
4,530,115,30000000,19.5,96,7,102,8,14,37073.52349,200,75,22,25,1241,58.95714286
4.1,530,115,30000000,19.5,19.5,7,102,8,14,41192.80388,200,75,22,25,1241.2,59.42857143
4.2,530,115,30000000,19.5,24,7,102,8,14,41192.80388,200,75,22,25,1241.4,59.9
4.3,530,115,30000000,19.5,39,7,102,8,14,41192.80388,200,75,22,25,1241.6,60.37142857
4.4,530,115,30000000,19.5,48,7,102,8,14,41192.80388,200,75,22,25,1241.8,60.84285714
4.5,530,115,30000000,19.5,58.5,7,102,8,14,41192.80388,200,75,22,25,1242,61.31428571
4.6,530,115,30000000,19.5,72,7,102,8,14,41192.80388,200,75,22,25,1242.2,61.78571429
4.7,530,115,30000000,19.5,78,7,102,8,14,41192.80388,200,75,22,25,1242.4,62.25714286
4.8,530,115,30000000,19.5,96,7,102,8,14,41192.80388,200,75,22,25,1242.6,62.72857143
4.9,530,115,30000000,19.5,19.5,7,102,8,14,45312.08427,200,75,22,25,1242.8,63.2
5,530,115,30000000,19.5,24,7,102,8,14,45312.08427,200,75,22,25,1243,63.67142857
5.1,530,115,30000000,19.5,39,7,102,8,14,45312.08427,200,75,22,25,1243.2,64.14285714
5.2,530,115,30000000,19.5,48,7,102,8,14,45312.08427,200,75,22,25,1243.4,64.61428571
5.3,530,115,30000000,19.5,58.5,7,102,8,14,45312.08427,200,75,22,25,1243.6,65.08571429
5.4,530,115,30000000,19.5,72,7,102,8,14,45312.08427,200,75,22,25,1243.8,65.55714286
5.5,530,115,30000000,19.5,78,7,102,8,14,45312.08427,200,75,22,25,1244,66.02857143
5.6,530,115,30000000,19.5,96,7,102,8,14,45312.08427,200,75,22,25,1244.2,66.5
5.7,530,115,30000000,19.5,19.5,7,102,8,14,49431.36466,200,75,22,25,1244.4,66.97142857
5.8,530,115,30000000,19.5,24,7,102,8,14,49431.36466,200,75,22,25,1244.6,67.44285714
5.9,530,115,30000000,19.5,39,7,102,8,14,49431.36466,200,75,22,25,1244.8,67.91428571
6,530,115,30000000,19.5,48,7,102,8,14,49431.36466,200,75,22,25,1245,68.38571429
6.1,530,115,30000000,19.5,58.5,7,102,8,14,49431.36466,200,75,22,25,1245.2,68.85714286
6.2,530,115,30000000,19.5,72,7,102,8,14,49431.36466,200,75,22,25,1245.4,69.32857143
6.3,530,115,30000000,19.5,78,7,102,8,14,49431.36466,200,75,22,25,1245.6,69.8
6.4,530,115,30000000,19.5,96,7,102,8,14,49431.36466,200,75,22,25,1245.8,70.27142857
6.5,530,115,30000000,19.5,19.5,7,102,8,14,21412.34584,200,75,22,25,1246,70.74285714
6.6,530,115,30000000,19.5,24,7,102,8,14,21412.34584,200,75,22,25,1246.2,71.21428571
6.7,530,115,30000000,19.5,39,7,102,8,14,21412.34584,200,75,22,25,1246.4,71.68571429
6.8,530,115,30000000,19.5,48,7,102,8,14,21412.34584,200,75,22,25,1246.6,72.15714286
6.9,530,115,30000000,19.5,58.5,7,102,8,14,21412.34584,200,75,22,25,1246.8,72.62857143
